Timestamp,Gender,Ethnicity,Academic Year,Major,GPA,UCR BC,Housing BC,Housing no $,Housing AC,Learning
2/1/2021 16:33:54,Female,Asian,Sophomore,computer science,3.3 - 3.69,Yes,Off-campus Apartments,Off-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/1/2021 16:34:54,Male,White,Sophomore,Computer Science,3.3 - 3.69,Yes,Off-campus Apartments,On-campus,Off - Campus Apartment,Combined (Online + on-campus)
2/1/2021 16:46:32,Prefer not to say,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,Off-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/1/2021 16:50:20,Male,Asian,Junior,CSBA,3.3 - 3.69,Yes,On-campus Apartments,On-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/1/2021 16:55:38,Male,Asian,Sophomore,Computer Engineering,3.7 - 4.0,Yes,Off-campus Apartments,On-campus,On Campus Apartment,In-person (on-campus lecture)
2/1/2021 17:30:07,Female,"American Indian or Alaska Native, Black or African American",Senior/Senior+,Computer Science,3.3 - 3.69,No,At home,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
2/1/2021 18:00:06,Male,Hispanic or Latino or Spanish Origin,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,Off-campus,On Campus Apartment,In-person (on-campus lecture)
2/1/2021 21:50:38,Male,Asian,Junior,Computer Science,3.7 - 4.0,No,Transferred Fall 2020,Off-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/1/2021 21:59:26,Female,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,Off-campus Apartments,On-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/1/2021 22:11:13,Female,Asian,Sophomore,Computer Science,3.3 - 3.69,Yes,On-campus Apartments,On-campus,On Campus Apartment,Combined (Online + on-campus)
2/2/2021 11:39:26,Female,"Hispanic or Latino or Spanish Origin, White",Junior,Computer Science,3.3 - 3.69,Yes,Off-campus Apartments,On-campus,On Campus Apartment,In-person (on-campus lecture)
2/2/2021 13:30:25,Female,Hispanic or Latino or Spanish Origin,Sophomore,Computer Science,3.3 - 3.69,Yes,UCR Dorms,On-campus,On Campus Apartment,Combined (Online + on-campus)
2/2/2021 13:40:01,Male,Hispanic or Latino or Spanish Origin,Senior/Senior+,Computer Science,3.3 - 3.69,Yes,Off-campus Apartments,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
2/2/2021 22:24:57,Female,Asian,Senior/Senior+,Statistics,3.3 - 3.69,Yes,On-campus Apartments,On-campus,I'm graduating,In-person (on-campus lecture)
2/3/2021 11:16:57,Male,Asian,Sophomore,Computer Science,3.7 - 4.0,Yes,UCR Dorms,Off-campus,Off - Campus Apartment,In-person (on-campus lecture)
2/3/2021 11:25:44,Male,Asian,Junior,Computer Science,3.0 - 3.29,No,Off-campus Apartments,Off-campus,Off - Campus Apartment,Combined (Online + on-campus)
2/3/2021 14:49:07,Male,Hispanic or Latino or Spanish Origin,Senior/Senior+,Computer Science,3.0 - 3.29,Yes,Off-campus home,On-campus,Off-campus home,In-person (on-campus lecture)
